#               time                E_H  E_UniformExchange            E_total                H_x                H_y                H_z                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
             1.5e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.11                211          2.325e-09 
            1.55e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.12                218           2.48e-09 
             1.6e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.13                225           2.64e-09 
            1.65e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.14                232          2.805e-09 
             1.7e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.15                239          2.975e-09 
            1.75e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.16                246           3.15e-09 
             1.8e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.17                253           3.33e-09 
            1.85e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.18                260          3.515e-09 
             1.9e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.19                267          3.705e-09 
            1.95e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0       1517589495.2                274            3.9e-09 
               2e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.22                281            4.1e-09 
            2.05e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.23                288          4.305e-09 
             2.1e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.24                295          4.515e-09 
            2.15e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.25                302           4.73e-09 
             2.2e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.26                309           4.95e-09 
            2.25e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.27                316          5.175e-09 
             2.3e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.28                323          5.405e-09 
            2.35e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.29                330           5.64e-09 
             2.4e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0       1517589495.3                337           5.88e-09 
            2.45e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.31                344          6.125e-09 
             2.5e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.32                351          6.375e-09 
            2.55e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.33                358           6.63e-09 
             2.6e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.34                365           6.89e-09 
            2.65e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.36                372          7.155e-09 
             2.7e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.37                379          7.425e-09 
            2.75e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.38                386            7.7e-09 
             2.8e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.39                393           7.98e-09 
            2.85e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0       1517589495.4                400          8.265e-09 
             2.9e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.41                407          8.555e-09 
            2.95e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.42                414           8.85e-09 
               3e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.44                421           9.15e-09 
            3.05e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.45                428          9.455e-09 
             3.1e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.46                435          9.765e-09 
            3.15e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.47                442          1.008e-08 
             3.2e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.48                449           1.04e-08 
            3.25e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0       1517589495.5                456         1.0725e-08 
             3.3e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.51                463         1.1055e-08 
            3.35e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.52                470          1.139e-08 
             3.4e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.53                477          1.173e-08 
            3.45e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.54                484         1.2075e-08 
             3.5e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.56                491         1.2425e-08 
            3.55e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.57                498          1.278e-08 
             3.6e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.58                505          1.314e-08 
            3.65e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0       1517589495.6                512         1.3505e-08 
             3.7e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.61                519         1.3875e-08 
            3.75e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.62                526          1.425e-08 
             3.8e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.64                533          1.463e-08 
            3.85e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.65                540         1.5015e-08 
             3.9e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.66                547         1.5405e-08 
            3.95e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.73                554           1.58e-08 
               4e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.74                561           1.62e-08 
            4.05e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.76                568         1.6605e-08 
             4.1e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.77                575         1.7015e-08 
            4.15e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.78                582          1.743e-08 
             4.2e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.79                589          1.785e-08 
            4.25e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0       1517589495.8                596         1.8275e-08 
             4.3e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.82                603         1.8705e-08 
            4.35e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.83                610          1.914e-08 
             4.4e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.84                617          1.958e-08 
            4.45e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.85                624         2.0025e-08 
             4.5e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.86                631         2.0475e-08 
            4.55e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.87                638          2.093e-08 
             4.6e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.88                645          2.139e-08 
            4.65e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.89                652         2.1855e-08 
             4.7e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0       1517589495.9                659         2.2325e-08 
            4.75e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.92                666           2.28e-08 
             4.8e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.93                673          2.328e-08 
            4.85e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.94                680         2.3765e-08 
             4.9e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.95                687         2.4255e-08 
            4.95e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.96                694          2.475e-08 
               5e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.97                701          2.525e-08 
            5.05e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.98                708         2.5755e-08 
             5.1e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.99                715         2.6265e-08 
            5.15e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0         1517589496                722          2.678e-08 
             5.2e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.01                729           2.73e-08 
            5.25e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.02                736         2.7825e-08 
             5.3e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.03                743         2.8355e-08 
            5.35e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.05                750          2.889e-08 
             5.4e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.06                757          2.943e-08 
